PRODUCTION_BATCH_ID,KMAT_ID,PRODUCTION_DATE,PLANT_ID,PRODUCTION_LINE_ID,ENGINE,CAB,WHEEL,COLOR,BATCH_QUANTITY,COMPONENT_COUNT,ROUTING_OPERATION_COUNT,CRITICAL_COMPONENT_COUNT,BULK_MATERIAL_PCT,AVG_TEMPERATURE_C,AVG_HUMIDITY_PCT,AUTOMATION_LEVEL_PCT,SUPPLIER_QUALITY_SCORE,CHANGEOVER_COUNT,OPERATOR_EXPERIENCE_YEARS,LINE_UTILIZATION_PCT,RECENT_LINE_DOWNTIME_MIN,MACHINE_HEALTH_SCORE,PRIOR_LINE_SCRAP_RATE_PCT,PRIOR_CONFIG_SCRAP_RATE_PCT,CONFIG_NOVELTY_SCORE,PRIOR_7D_REWORK_RATE_PCT,SUPPLIER_30D_DEFECT_RATE_PCT,ACTUAL_SCRAP_RATE_PCT,HIGH_SCRAP_FLAG
BATCHV2_000074,KMAT_TRUCK_01,2022-01-06,PLANT_IN_01,TRUCK_LINE_04,V6,STANDARD,OFFROAD,RED,78,46,16,7,0.1459,27.998,52.963,55.0,92.427,3,7.088,74.026,29.412,78.244,3.0321,2.1905,5.63,2.8891,2.7513,0.5473,0
BATCHV2_000075,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,STANDARD,RED,8,47,16,6,0.126,28.115,55.285,63.918,95.147,3,6.357,70.652,18.458,79.012,2.8706,2.8166,14.192,3.2723,1.9284,1.9889,0
BATCHV2_000076,KMAT_TRUCK_01,2022-01-06,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,STANDARD,RED,10,54,18,10,0.1395,23.951,44.143,77.451,93.341,4,8.403,76.95,19.682,95.718,1.4054,3.8379,31.098,0.9796,2.3577,0.6651,0
BATCHV2_000077,KMAT_TRUCK_01,2022-01-06,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,OFFROAD,RED,62,45,16,7,0.0916,23.232,52.521,71.438,90.67,1,7.019,59.536,12.875,79.204,2.1601,2.8626,19.146,2.3794,4.0528,1.7917,0
BATCHV2_000078,KMAT_TRUCK_01,2022-01-07,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,OFFROAD,RED,59,53,18,10,0.1503,22.908,53.609,59.238,92.167,6,0.5,88.217,7.725,74.273,2.098,2.371,62.059,1.9188,3.0051,5.9791,1
BATCHV2_000079,KMAT_TRUCK_01,2022-01-07,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,OFFROAD,BLUE,57,42,17,7,0.1142,21.635,54.243,67.665,90.477,6,5.335,85.044,21.45,91.116,1.3237,2.3378,51.786,0.8004,3.8678,1.6209,0
BATCHV2_000080,KMAT_TRUCK_01,2022-01-07,PLANT_IN_01,TRUCK_LINE_04,V6,STANDARD,OFFROAD,RED,84,44,17,8,0.1601,24.837,53.758,55.0,90.567,6,4.635,95.31,38.433,70.913,3.1253,2.721,35.481,1.6423,2.6738,1.5403,0
BATCHV2_000081,KMAT_TRUCK_01,2022-01-07,PLANT_IN_01,TRUCK_LINE_04,V6,STANDARD,OFFROAD,RED,34,46,16,8,0.155,27.034,53.693,55.0,96.63,4,2.668,81.189,26.096,85.344,2.3178,2.256,17.649,1.771,0.4665,0.7912,0
BATCHV2_000082,KMAT_TRUCK_01,2022-01-07,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,OFFROAD,RED,17,44,17,7,0.1023,25.058,52.64,74.481,94.185,1,7.949,77.344,17.65,90.479,2.5661,2.116,58.073,2.3353,1.908,0.7358,0
BATCHV2_000083,KMAT_TRUCK_01,2022-01-07,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,STANDARD,RED,45,37,14,6,0.1255,24.716,46.278,59.626,90.395,6,6.288,78.279,15.637,79.034,2.6526,1.8717,31.77,1.6846,3.0854,0.881,0
BATCHV2_000084,KMAT_TRUCK_01,2022-01-07,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,OFFROAD,RED,34,59,20,14,0.1477,26.288,54.082,55.0,96.395,0,11.556,91.313,53.846,66.395,2.2016,4.7167,75.254,2.5488,1.5187,7.0726,1
BATCHV2_000085,KMAT_TRUCK_01,2022-01-07,PLANT_US_01,TRUCK_LINE_02,V8,STANDARD,STANDARD,BLUE,41,43,18,8,0.1477,24.343,51.715,69.687,93.393,5,8.225,82.517,16.289,78.16,1.8212,2.193,19.336,1.1428,1.6055,1.8209,0
BATCHV2_000086,KMAT_TRUCK_01,2022-01-07,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,STANDARD,BLUE,62,41,14,5,0.1528,24.092,59.195,69.405,92.384,2,6.137,73.467,6.536,83.521,2.0336,1.3966,23.282,1.8484,2.9424,0.5487,0
BATCHV2_000087,KMAT_TRUCK_01,2022-01-07,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,STANDARD,RED,22,45,17,8,0.1261,22.697,48.216,74.669,91.132,0,8.409,84.23,15.231,87.725,1.5453,2.3176,20.815,1.5273,3.4666,1.297,0
