RFQ_CONFIG_VERSION_ID,RFQ_ID,FEATURE_AS_OF_TIMESTAMP,REVIEWED_AT,SOURCE_LANGUAGE,DOCUMENT_LENGTH_CHARS,PAGE_COUNT,OCR_QUALITY_SCORE,DOCUMENT_COMPLEXITY_SCORE,AMBIGUITY_TERM_COUNT,CONFLICTING_PHRASE_COUNT,UNSUPPORTED_VALUE_COUNT,SYNONYM_MATCH_STRENGTH,TRANSLATION_USED_FLAG,TRANSLATION_QUALITY_SCORE,SOURCE_TEXT_PRESENT_FLAG,EXTRACTED_ENGINE,EXTRACTED_CAB,EXTRACTED_WHEEL,EXTRACTED_COLOR,ENGINE_EXTRACTION_CONFIDENCE,CAB_EXTRACTION_CONFIDENCE,WHEEL_EXTRACTION_CONFIDENCE,COLOR_EXTRACTION_CONFIDENCE,ENGINE_TEXT_EVIDENCE_FLAG,CAB_TEXT_EVIDENCE_FLAG,WHEEL_TEXT_EVIDENCE_FLAG,COLOR_TEXT_EVIDENCE_FLAG,VALID_EXTRACTED_VALUE_COUNT,TEXT_SUPPORTED_VALUE_COUNT,MISSING_REQUIREMENT_COUNT,EXACT_PHRASE_MATCH_COUNT,SYNONYM_MATCH_COUNT,RULE_VALIDATION_PASS_COUNT,CORTEX_EXTRACTION_STATUS,CORTEX_REASONING_AVAILABLE_FLAG,RULE_BMCS_SCORE,CORTEX_CONFIDENCE_SCORE,DEVELOPMENT_HYBRID_BMCS_SCORE,ENGINEER_FINAL_ENGINE,ENGINEER_FINAL_CAB,ENGINEER_FINAL_WHEEL,ENGINEER_FINAL_COLOR,ENGINEER_CORRECTION_COUNT,ENGINEER_ACCEPTED_WITHOUT_CHANGE_FLAG,FINAL_REVIEW_OUTCOME,REVIEWER_ROLE,CORRECT_MAPPING_FLAG
RFQCFG_BMCSV2_0013855_V1,RFQ_BMCSV2_0013855,2022-01-02 08:28:00,2022-01-09 09:28:00,EN,2792,2,0.854065,66.4994,2,1,0,0.89731,0,1.0,1,V6,STANDARD,STANDARD,BLUE,0.810734,0.709937,0.614282,0.472693,1,0,1,0,4,2,0,2,0,4,PARTIAL,1,60.0,61.691158,60.676463,V6,STANDARD,OFFROAD,RED,2,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0019586_V1,RFQ_BMCSV2_0019586,2022-01-02 09:13:00,2022-01-07 13:13:00,EN,1508,2,0.932269,42.7113,0,1,1,0.82919,0,1.0,1,V8,STANDARD,STANDARD,RED,0.94651,0.995,0.942278,0.89358,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,96.0,88.434182,92.973673,V8,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0002943_V1,RFQ_BMCSV2_0002943,2022-01-02 09:25:00,2022-01-10 12:25:00,EN,991,1,0.962579,54.4427,2,0,1,0.690075,0,1.0,1,V6,PREMIUM,STANDARD,RED,0.864311,0.938458,0.872448,0.800155,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,80.5,84.384274,82.05371,V6,PREMIUM,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0001836_V1,RFQ_BMCSV2_0001836,2022-01-02 10:20:00,2022-01-04 16:20:00,EN,2090,2,0.804553,5.0,0,1,0,0.677131,0,1.0,1,V6,STANDARD,OFFROAD,RED,0.811332,0.979599,0.804264,0.813971,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,81.72914,90.291656,V6,STANDARD,OFFROAD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0012444_V1,RFQ_BMCSV2_0012444,2022-01-02 10:34:00,2022-01-10 11:34:00,DE,2492,2,0.826818,62.57,5,0,1,0.392487,1,0.930997,1,V6,PREMIUM,OFFROAD,RED,0.666521,0.749926,0.396101,0.559838,1,1,0,1,4,3,0,1,2,4,COMPLETE,1,54.75,56.809636,55.573854,V6,PREMIUM,STANDARD,BLUE,2,0,CORRECTED_AND_ACCEPTED,COST_ENGINEER,0
RFQCFG_BMCSV2_0018305_V1,RFQ_BMCSV2_0018305,2022-01-02 10:56:00,2022-01-05 16:56:00,EN,3485,2,0.776467,62.7297,3,0,0,0.778662,0,1.0,1,V8,STANDARD,STANDARD,BLUE,0.743496,0.725621,0.844627,0.768813,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,72.75,77.063935,74.475574,V8,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0012508_V1,RFQ_BMCSV2_0012508,2022-01-02 11:04:00,2022-01-10 18:04:00,EN,1998,2,0.942755,14.2837,0,0,0,0.660066,0,1.0,1,V8,PREMIUM,STANDARD,BLUE,0.875798,0.832186,0.969996,0.968593,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,96.0,91.164332,94.065733,V8,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0006917_V1,RFQ_BMCSV2_0006917,2022-01-02 11:11:00,2022-01-07 12:11:00,EN,2021,2,0.852724,17.5436,0,0,0,0.905044,0,1.0,1,V6,PREMIUM,STANDARD,BLUE,0.995,0.906948,0.918228,0.929278,1,1,1,1,4,4,0,2,2,4,COMPLETE,1,96.0,93.736348,95.094539,V6,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0022464_V1,RFQ_BMCSV2_0022464,2022-01-02 12:15:00,2022-01-12 16:15:00,DE,1444,1,0.864256,75.1425,2,0,0,0.411813,1,0.841088,1,V8,STANDARD,OFFROAD,RED,0.654275,0.871774,0.845437,0.866609,0,1,1,0,4,2,0,2,0,4,PARTIAL,1,60.0,80.952394,68.380958,V8,STANDARD,OFFROAD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0013508_V1,RFQ_BMCSV2_0013508,2022-01-02 12:50:00,2022-01-10 15:50:00,ES,5214,4,0.852391,96.7591,5,0,1,0.648994,1,0.895539,1,V6,PREMIUM,OFFROAD,RED,0.772814,0.547167,0.639383,0.784128,1,1,0,1,4,3,0,3,0,4,COMPLETE,1,54.75,66.08731,59.284924,V6,STANDARD,OFFROAD,RED,1,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0001521_V1,RFQ_BMCSV2_0001521,2022-01-02 12:57:00,2022-01-15 17:57:00,ES,2425,2,0.872239,56.6898,2,0,0,0.5969,1,0.865875,1,V8,STANDARD,STANDARD,RED,0.90862,0.894457,0.672451,0.903603,1,1,0,1,4,3,0,3,0,4,COMPLETE,1,70.25,84.478255,75.941302,V8,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0010396_V1,RFQ_BMCSV2_0010396,2022-01-02 13:00:00,2022-01-15 20:00:00,EN,2452,2,0.909396,12.6403,0,1,0,0.741329,0,1.0,1,V6,STANDARD,OFFROAD,BLUE,0.97807,0.771451,0.827545,0.971086,1,0,1,1,4,3,0,3,0,4,COMPLETE,1,85.75,85.203818,85.531527,V6,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0010005_V1,RFQ_BMCSV2_0010005,2022-01-02 13:26:00,2022-01-13 15:26:00,EN,4164,3,0.828069,34.5355,1,0,1,0.833697,0,1.0,1,V6,STANDARD,OFFROAD,BLUE,0.777379,0.760647,0.799814,0.89115,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,88.25,78.224745,84.239898,V6,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0002412_V1,RFQ_BMCSV2_0002412,2022-01-02 13:52:00,2022-01-15 20:52:00,EN,2734,2,0.973092,74.0449,2,1,0,0.831161,0,1.0,1,V6,UNKNOWN,STANDARD,UNKNOWN,0.818673,0.490006,0.690649,0.487737,1,1,0,0,2,2,2,1,1,2,PARTIAL,1,32.5,48.676626,38.97065,V6,STANDARD,STANDARD,BLUE,2,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0013468_V1,RFQ_BMCSV2_0013468,2022-01-02 14:58:00,2022-01-06 21:58:00,EN,1369,2,0.999,34.0602,0,0,0,0.625635,0,1.0,1,V8,STANDARD,OFFROAD,BLUE,0.963575,0.995,0.995,0.977679,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,98.281344,96.912537,V8,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0005791_V1,RFQ_BMCSV2_0005791,2022-01-02 17:04:00,2022-01-05 19:04:00,DE,4564,4,0.872216,85.2679,3,1,0,0.741829,1,0.827549,1,V6,STANDARD,STANDARD,BLUE,0.718185,0.786062,0.728427,0.695433,1,0,1,0,4,2,0,0,2,4,PARTIAL,1,52.25,69.702685,59.231074,V8,STANDARD,STANDARD,BLUE,1,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0011481_V1,RFQ_BMCSV2_0011481,2022-01-02 17:55:00,2022-01-03 22:55:00,FR,906,1,0.82068,23.2482,0,0,0,0.770945,1,0.983013,1,V6,STANDARD,OFFROAD,RED,0.839179,0.995,0.884918,0.797573,1,1,1,1,4,4,0,2,2,4,COMPLETE,1,96.0,87.916758,92.766703,V6,STANDARD,OFFROAD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0003289_V1,RFQ_BMCSV2_0003289,2022-01-02 18:45:00,2022-01-16 01:45:00,EN,4124,4,0.865803,43.0006,1,1,0,0.890012,0,1.0,1,V6,STANDARD,STANDARD,RED,0.995,0.90119,0.807248,0.662265,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,88.25,80.642583,85.207033,V6,STANDARD,STANDARD,BLUE,1,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0007279_V1,RFQ_BMCSV2_0007279,2022-01-03 07:09:00,2022-01-06 09:09:00,EN,1670,2,0.85815,39.8285,1,1,0,0.920272,0,1.0,1,V6,STANDARD,OFFROAD,BLUE,0.790131,0.641925,0.956291,0.892274,1,1,1,0,4,3,0,2,1,4,COMPLETE,1,78.0,78.515517,78.206207,V6,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0014307_V1,RFQ_BMCSV2_0014307,2022-01-03 07:32:00,2022-01-05 14:32:00,FR,4054,4,0.999,28.8289,1,1,0,0.553695,1,0.995,1,V8,STANDARD,STANDARD,BLUE,0.813182,0.79259,0.79047,0.893242,1,1,1,1,4,4,0,1,3,4,COMPLETE,1,88.25,78.737097,84.444839,V8,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0018852_V1,RFQ_BMCSV2_0018852,2022-01-03 07:32:00,2022-01-06 14:32:00,EN,1087,1,0.813171,32.1291,0,1,0,0.793908,0,1.0,1,V8,STANDARD,OFFROAD,BLUE,0.837276,0.995,0.915997,0.802848,1,1,1,0,4,3,0,2,1,4,COMPLETE,1,85.75,85.27804,85.561216,V8,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0023185_V1,RFQ_BMCSV2_0023185,2022-01-03 07:41:00,2022-01-11 08:41:00,EN,1451,1,0.947296,60.5044,2,0,0,0.647245,0,1.0,1,V6,PREMIUM,STANDARD,RED,0.633099,0.901114,0.934916,0.896269,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,80.5,84.13492,81.953968,V8,PREMIUM,STANDARD,RED,1,0,CORRECTED_AND_ACCEPTED,COST_ENGINEER,0
RFQCFG_BMCSV2_0021512_V1,RFQ_BMCSV2_0021512,2022-01-03 07:43:00,2022-01-12 14:43:00,EN,3733,3,0.955397,35.5071,0,0,1,0.768611,0,1.0,1,V8,PREMIUM,STANDARD,BLUE,0.857534,0.808798,0.880155,0.995,1,1,0,1,4,3,0,2,1,4,COMPLETE,1,85.75,86.037179,85.864872,V8,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0006331_V1,RFQ_BMCSV2_0006331,2022-01-03 08:09:00,2022-01-07 12:09:00,FR,1482,1,0.952359,40.6199,0,0,1,0.751727,1,0.955774,1,V6,STANDARD,STANDARD,BLUE,0.963924,0.883407,0.825911,0.923385,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,87.415675,92.56627,V6,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0018163_V1,RFQ_BMCSV2_0018163,2022-01-03 08:12:00,2022-01-16 11:12:00,EN,1829,2,0.870218,33.314,0,0,0,0.934786,0,1.0,1,V8,PREMIUM,STANDARD,BLUE,0.987296,0.995,0.884042,0.995,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,96.533455,96.213382,V8,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0021180_V1,RFQ_BMCSV2_0021180,2022-01-03 08:50:00,2022-01-12 12:50:00,EN,5925,4,0.834723,42.1334,2,0,0,0.843244,0,1.0,1,V6,STANDARD,STANDARD,RED,0.822291,0.799139,0.789204,0.721438,1,1,1,1,4,4,0,4,0,4,COMPLETE,0,80.5,78.301807,79.620723,V6,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0005042_V1,RFQ_BMCSV2_0005042,2022-01-03 08:51:00,2022-01-12 09:51:00,ES,2143,2,0.85991,77.5214,2,0,1,0.771002,1,0.875964,1,V6,STANDARD,STANDARD,BLUE,0.937822,0.995,0.819449,0.947659,1,1,0,1,4,3,0,3,0,4,COMPLETE,1,70.25,89.998253,78.149301,V6,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0006691_V1,RFQ_BMCSV2_0006691,2022-01-03 08:58:00,2022-01-13 15:58:00,ES,3126,2,0.839131,50.1779,2,0,0,0.830281,1,0.859384,1,V8,STANDARD,STANDARD,RED,0.801416,0.604275,0.988025,0.778703,1,0,1,1,4,3,0,2,1,4,COMPLETE,1,70.25,79.310483,73.874193,V8,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0009613_V1,RFQ_BMCSV2_0009613,2022-01-03 09:37:00,2022-01-15 10:37:00,FR,3313,2,0.713754,52.6652,2,0,0,0.467482,1,0.946694,1,V6,PREMIUM,STANDARD,BLUE,0.7053,0.813968,0.831132,0.7918,1,1,1,1,4,4,0,1,3,4,PARTIAL,1,80.5,78.555001,79.722,V6,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0021813_V1,RFQ_BMCSV2_0021813,2022-01-03 09:54:00,2022-01-09 14:54:00,EN,1371,1,0.901073,41.6262,0,1,0,0.967504,0,1.0,1,V8,STANDARD,STANDARD,RED,0.954091,0.995,0.939639,0.929728,1,1,1,1,4,4,0,2,2,4,COMPLETE,1,96.0,91.961444,94.384578,V8,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0003703_V1,RFQ_BMCSV2_0003703,2022-01-03 10:06:00,2022-01-10 11:06:00,EN,4170,3,0.960178,47.9937,3,0,1,0.884952,0,1.0,1,V8,STANDARD,OFFROAD,BLUE,0.626756,0.574536,0.730267,0.802024,0,1,1,1,4,3,0,3,0,4,COMPLETE,1,62.5,65.839568,63.835827,V6,PREMIUM,OFFROAD,BLUE,2,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
