OPERATION_RUN_ID,RUN_DATE,KMAT_ID,WORK_CENTER_ID,MACHINE_ID,OPERATION_ID,ENGINE,CAB,WHEEL,COLOR,MACHINE_AGE_YEARS,MACHINE_HOURS_RUN,PRE_RUN_VIBRATION_MM_S,PRE_RUN_TEMPERATURE_C,DAYS_SINCE_MAINTENANCE,TOOL_USAGE_CYCLES_PRE_RUN,SETUP_TIME_MINUTES,CONFIG_COMPLEXITY_SCORE,STANDARD_MAINTENANCE_COST_USD,SHIFT_LOAD_PCT,OPERATOR_EXPERIENCE_YEARS,RECENT_30D_DOWNTIME_MIN,PRIOR_30D_MAINTENANCE_COUNT,MACHINE_HEALTH_SCORE,PRIOR_30D_MEAN_VIBRATION_MM_S,PRIOR_WORK_CENTER_TDS_AVG,ACTUAL_MAINTENANCE_COST_USD,ACTUAL_TDS_FACTOR,ACTUAL_TOOL_REPLACEMENT_COUNT,ACTUAL_DOWNTIME_MINUTES
TDSV2_0000011,2022-01-01,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_PRIMER,V6,PREMIUM,OFFROAD,RED,10.9968,20223.45,3.6669,57.6391,17.604,1402.62,48.87,66.406,524.22,93.47,7.579,15.269,2,62.986,3.5746,1.2285,1079.12,1.982461,2,48.937
TDSV2_0000012,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_CAB,V8,STANDARD,OFFROAD,RED,4.065,20902.96,2.8492,67.264,8.338,909.73,42.488,62.505,376.17,78.017,6.13,4.896,3,81.931,2.3348,1.1105,525.54,1.399307,1,29.273
TDSV2_0000013,2022-01-01,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V8,STANDARD,STANDARD,RED,10.9048,12694.13,4.0181,60.9146,13.39,2989.02,20.715,55.306,437.08,64.817,5.4,28.016,1,71.584,3.0054,1.2337,811.52,1.870018,2,48.62
TDSV2_0000014,2022-01-02,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_02,OP_CHA_SUSPENSION,V8,STANDARD,STANDARD,BLUE,3.9712,17229.86,2.5826,67.0687,14.698,940.94,42.289,55.804,387.39,90.664,9.159,59.617,2,89.049,2.5349,1.2272,449.81,1.239452,0,16.259
TDSV2_0000015,2022-01-02,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_FINISH,V6,STANDARD,STANDARD,RED,10.5047,21535.46,4.0153,62.0119,38.046,1319.75,33.882,35.221,557.87,72.267,3.489,44.275,3,65.942,3.6221,1.2696,1010.05,1.802191,0,32.711
TDSV2_0000016,2022-01-02,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_WHEEL,V8,STANDARD,STANDARD,BLUE,6.3769,25401.52,3.4691,63.0909,15.166,391.55,30.481,51.993,514.85,79.976,6.185,6.285,1,86.968,3.1322,1.3023,566.43,1.079551,0,15.311
TDSV2_0000017,2022-01-02,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_02,OP_TST_INSPECTION,V8,STANDARD,STANDARD,BLUE,9.9537,7928.5,4.6548,69.6467,49.049,1076.09,36.842,55.344,482.38,73.593,2.074,65.55,4,77.633,4.244,1.2695,926.54,1.967735,1,47.658
TDSV2_0000018,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FRAME,V6,STANDARD,STANDARD,RED,3.3387,19760.51,4.3964,67.2349,46.202,2204.61,26.251,37.071,281.89,82.993,9.79,22.62,1,66.603,3.3942,1.3474,460.78,1.714061,2,38.901
TDSV2_0000019,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_01,OP_ASM_FRAME,V8,STANDARD,OFFROAD,BLUE,10.0399,16856.06,5.4341,63.5849,41.126,2973.34,38.149,67.148,551.65,78.213,8.657,31.525,5,72.361,3.7474,1.372,1472.33,2.639455,0,58.438
TDSV2_0000020,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_FINAL,V8,STANDARD,STANDARD,BLUE,3.9163,4109.94,3.5247,68.0584,28.863,1937.72,37.702,56.018,286.23,100.0,6.042,35.593,0,78.418,3.0592,1.1363,444.42,1.63289,1,32.312
TDSV2_0000021,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_FINAL,V6,PREMIUM,STANDARD,BLUE,4.3908,6552.12,2.9746,61.3086,31.204,1173.7,34.289,47.362,288.91,67.8,5.193,12.235,1,83.568,2.5356,1.24,282.91,1.0,0,12.452
TDSV2_0000022,2022-01-02,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_WHEEL,V6,STANDARD,STANDARD,BLUE,5.8561,24098.82,3.0334,64.099,22.468,766.12,35.244,36.442,466.16,79.499,0.3,31.737,1,86.934,3.1131,1.2831,458.49,1.051818,0,13.868
TDSV2_0000023,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FRAME,V6,STANDARD,STANDARD,BLUE,3.8926,19167.47,3.7565,66.8239,37.027,1383.42,29.106,39.532,346.99,90.45,0.3,5.935,2,74.511,3.0927,1.2212,475.55,1.267267,1,22.292
TDSV2_0000024,2022-01-02,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_DYNO,V6,STANDARD,STANDARD,BLUE,7.7255,18232.51,3.9787,62.0556,21.206,1306.11,26.007,40.504,469.18,71.074,5.012,7.523,3,74.031,3.7476,1.1781,513.51,1.154325,0,9.466
TDSV2_0000025,2022-01-02,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_SUSPENSION,V8,PREMIUM,OFFROAD,RED,1.4945,10091.23,4.1703,57.8887,7.599,1639.28,56.14,87.981,346.05,76.89,6.456,66.229,4,87.006,2.7452,1.202,650.92,1.954791,0,37.793
TDSV2_0000026,2022-01-02,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_WHEEL,V6,STANDARD,OFFROAD,BLUE,1.6398,7785.46,2.5678,54.2612,6.509,1704.51,46.891,53.506,338.57,75.181,2.211,56.317,2,85.031,2.2181,1.147,418.01,1.166051,0,14.219
TDSV2_0000027,2022-01-02,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_PRIMER,V8,STANDARD,STANDARD,BLUE,5.2607,9342.26,3.2206,63.1605,13.275,1948.17,39.79,47.338,349.59,80.415,2.631,23.832,2,76.261,3.0391,1.142,416.63,1.226826,0,15.931
TDSV2_0000028,2022-01-02,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_CALIBRATE,V6,STANDARD,OFFROAD,RED,11.0246,13341.5,3.5055,66.4591,40.721,1227.69,37.227,43.923,586.33,78.808,4.129,49.673,6,84.9,3.0478,1.3287,1241.97,1.927827,1,42.629
TDSV2_0000029,2022-01-02,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_DYNO,V6,STANDARD,STANDARD,BLUE,8.132,18226.7,3.5802,60.462,5.102,935.75,24.881,41.099,416.5,72.797,8.098,19.668,1,74.828,2.9168,1.1225,435.26,1.0,0,12.471
TDSV2_0000030,2022-01-02,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_INSPECTION,V6,STANDARD,STANDARD,RED,7.8028,19540.78,3.8917,66.2113,38.697,1259.66,34.314,30.026,462.61,89.686,5.215,5.636,2,69.47,3.6384,1.1508,636.48,1.394549,0,29.218
TDSV2_0000031,2022-01-02,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FINAL,V6,STANDARD,STANDARD,BLUE,3.4739,19870.06,2.787,63.3467,29.029,674.76,35.769,31.751,322.87,87.349,6.138,28.297,1,78.775,2.9459,1.1264,359.0,1.0,0,16.019
TDSV2_0000032,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_FINISH,V6,STANDARD,STANDARD,BLUE,11.0694,20232.11,3.9355,62.5395,12.804,561.13,32.965,33.594,550.31,70.834,9.07,28.601,4,72.874,3.9621,1.187,709.29,1.305914,0,17.421
TDSV2_0000033,2022-01-03,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V8,PREMIUM,STANDARD,RED,10.4563,14899.14,4.694,66.8218,33.357,847.37,42.382,75.027,504.83,81.28,6.367,29.545,2,83.273,3.4475,1.3212,992.3,1.96473,2,51.583
TDSV2_0000034,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_PRIMER,V6,STANDARD,OFFROAD,RED,10.4506,20774.13,4.2061,57.9911,17.649,933.31,38.7,46.487,476.43,74.038,7.167,36.916,2,73.226,4.0777,1.0986,626.69,1.458893,3,56.799
TDSV2_0000035,2022-01-03,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_AXLE,V6,STANDARD,STANDARD,BLUE,6.2863,24579.12,3.6466,68.855,35.586,1610.36,40.799,38.856,398.01,90.538,4.619,15.288,0,68.417,3.8054,1.2678,641.68,1.643535,0,37.142
TDSV2_0000036,2022-01-03,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_CAB,V6,STANDARD,OFFROAD,RED,3.2815,20749.98,3.2296,61.7137,22.043,1487.85,47.76,48.02,489.28,90.176,0.3,43.268,3,74.0,2.9804,1.1109,811.02,1.687943,0,27.686
TDSV2_0000037,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_PRIMER,V6,STANDARD,OFFROAD,BLUE,10.9931,20913.57,4.2853,57.1986,16.385,1595.76,35.886,59.939,603.1,70.826,8.255,38.897,5,68.62,4.0877,1.1948,1196.96,2.012262,1,43.771
TDSV2_0000038,2022-01-03,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_CALIBRATE,V6,STANDARD,STANDARD,RED,11.5647,13765.9,3.2658,57.749,7.635,2510.09,35.341,36.248,509.63,79.49,8.702,39.291,1,73.252,2.6296,1.2047,756.98,1.528471,2,33.226
TDSV2_0000039,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_PRIMER,V6,PREMIUM,STANDARD,RED,5.0291,9269.97,2.8066,61.0563,21.702,1114.33,36.948,47.58,284.68,78.236,6.816,5.593,0,82.633,2.839,1.0831,290.14,1.0,0,6.792
TDSV2_0000040,2022-01-03,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_FINAL,V6,STANDARD,OFFROAD,RED,4.7228,5957.3,2.6575,63.6319,12.654,881.6,44.387,53.374,280.01,72.787,7.971,21.449,1,78.083,2.3571,1.0903,318.01,1.037398,0,10.277
TDSV2_0000041,2022-01-03,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_SUSPENSION,V6,PREMIUM,OFFROAD,BLUE,6.333,24403.16,3.5526,59.7475,4.727,1794.0,46.144,64.209,453.85,78.877,4.913,49.399,1,74.85,2.9419,1.2022,842.71,1.84215,0,44.485
TDSV2_0000042,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_PRIMER,V6,STANDARD,STANDARD,BLUE,5.2074,8921.08,3.1282,62.6838,39.966,1590.76,28.012,42.727,329.09,77.129,5.613,47.569,0,82.197,2.6613,1.235,414.29,1.208215,0,33.332
TDSV2_0000043,2022-01-03,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_PRIMER,V6,PREMIUM,OFFROAD,RED,10.9704,19874.37,4.3181,58.2378,15.282,998.26,57.102,62.388,519.69,79.399,1.652,15.785,0,71.523,3.3932,1.1449,992.75,1.826088,2,52.264
TDSV2_0000044,2022-01-03,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_DYNO,V6,STANDARD,OFFROAD,BLUE,8.1845,18330.99,3.4917,64.7853,30.781,1169.02,41.423,42.951,501.99,71.229,12.234,10.782,3,67.876,3.1715,1.1828,788.79,1.613658,1,37.151
TDSV2_0000045,2022-01-03,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_MOUNT,V6,STANDARD,STANDARD,BLUE,6.7937,22272.46,3.6658,60.8288,21.723,957.99,34.333,47.184,496.59,70.052,9.078,25.256,2,93.353,3.5535,1.2422,526.18,1.058644,0,11.683
TDSV2_0000046,2022-01-04,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_FINISH,V6,PREMIUM,STANDARD,RED,4.8345,8734.15,3.1826,55.1455,23.809,265.19,44.774,47.633,288.15,89.199,5.754,10.933,1,87.645,2.8211,1.2767,288.7,1.0,0,12.51
TDSV2_0000047,2022-01-04,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_AXLE,V8,STANDARD,STANDARD,BLUE,1.5059,10152.6,2.805,66.8918,18.618,1641.26,37.796,48.981,280.07,73.364,4.324,15.031,3,84.943,2.803,1.2675,285.2,1.094899,1,17.456
TDSV2_0000048,2022-01-04,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_FINISH,V8,STANDARD,OFFROAD,BLUE,11.0359,22571.01,5.0059,71.553,35.719,1383.12,53.988,63.227,599.89,78.63,3.579,15.975,6,68.187,4.2033,1.3837,1647.43,2.632948,1,61.72
TDSV2_0000049,2022-01-04,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_01,OP_ASM_FINAL,V8,PREMIUM,STANDARD,BLUE,10.5442,15800.17,4.2926,65.1293,42.955,917.04,47.907,60.656,520.78,87.465,4.011,66.978,3,78.534,4.0599,1.3821,1107.79,2.152849,0,42.389
TDSV2_0000050,2022-01-04,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_02,OP_TST_INSPECTION,V6,PREMIUM,OFFROAD,BLUE,9.8589,5488.28,3.5672,56.598,6.186,1421.21,53.345,64.2,403.96,75.913,6.408,28.82,1,74.521,3.1448,1.1797,599.3,1.57519,3,40.147
TDSV2_0000051,2022-01-04,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_CALIBRATE,V6,STANDARD,STANDARD,RED,6.7577,22308.55,2.981,58.029,7.403,1249.89,35.563,28.174,476.45,73.954,7.759,66.521,2,87.341,2.5108,1.0895,569.26,1.134877,0,27.007
TDSV2_0000052,2022-01-04,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V6,STANDARD,STANDARD,RED,11.6274,13458.09,3.6685,60.8163,15.06,1127.88,30.729,34.867,437.68,71.101,8.106,25.237,0,87.432,3.2389,1.155,428.3,1.083403,0,12.056
TDSV2_0000053,2022-01-04,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_INSPECTION,V8,STANDARD,STANDARD,RED,7.4414,17535.44,4.4533,65.4268,27.221,1128.74,38.269,56.893,360.61,91.857,8.439,3.549,0,67.045,3.5107,1.2099,526.78,1.520199,0,21.88
TDSV2_0000054,2022-01-04,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_PRIMER,V8,PREMIUM,STANDARD,BLUE,5.223,8611.21,2.9265,64.0612,5.119,710.47,48.69,70.762,341.37,73.415,5.684,11.152,2,90.732,2.612,1.0378,412.53,1.123516,0,15.248
TDSV2_0000055,2022-01-04,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_INSPECTION,V8,STANDARD,STANDARD,BLUE,7.8293,18026.56,3.9743,61.4673,12.288,569.19,35.044,58.048,456.9,81.37,5.561,18.693,2,74.81,3.1237,1.1172,689.28,1.401861,0,19.246
TDSV2_0000056,2022-01-04,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V6,STANDARD,OFFROAD,RED,10.6671,13124.37,4.3734,61.2348,44.625,1357.52,40.771,55.425,524.8,63.997,8.785,34.349,4,78.142,4.2143,1.4608,1015.02,1.857052,2,49.952
TDSV2_0000057,2022-01-04,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_02,OP_TST_DYNO,V6,STANDARD,STANDARD,BLUE,9.8695,8980.83,2.9207,56.5704,8.213,695.29,24.502,45.985,471.15,79.764,6.446,88.485,6,78.319,2.6169,1.0742,703.39,1.448089,0,25.195
TDSV2_0000058,2022-01-04,KMAT_TRUCK_01,WC_PAINT,MC_PNT_02,OP_PNT_PRIMER,V8,PREMIUM,STANDARD,RED,4.8062,7658.9,3.7963,61.1589,24.486,2189.29,55.096,68.534,251.57,82.504,3.853,2.138,0,79.608,2.9595,1.2319,383.6,1.672512,0,32.185
TDSV2_0000059,2022-01-04,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_MOUNT,V8,STANDARD,STANDARD,RED,6.5469,22289.63,3.8316,69.5881,11.627,1073.36,41.414,41.307,488.99,82.303,8.438,40.602,1,90.874,3.0317,1.1156,614.47,1.27255,2,25.401
TDSV2_0000060,2022-01-04,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_01,OP_TST_INSPECTION,V6,PREMIUM,OFFROAD,RED,7.8889,20353.18,3.6826,63.1592,14.659,957.25,46.165,60.199,471.91,77.89,8.193,27.826,0,73.133,3.1613,1.156,683.39,1.427999,1,25.437
TDSV2_0000061,2022-01-04,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_CALIBRATE,V8,STANDARD,OFFROAD,RED,11.1919,14850.73,4.2742,69.6966,49.366,1354.77,49.011,68.47,526.26,90.764,2.899,64.364,3,80.979,4.0496,1.3022,1327.48,2.420584,2,87.135
TDSV2_0000062,2022-01-04,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_AXLE,V6,PREMIUM,STANDARD,BLUE,1.5991,8843.43,1.9938,64.2519,14.351,1654.17,35.982,45.988,252.65,75.186,6.671,15.958,1,91.885,2.0468,1.1471,241.95,1.0,0,4.258
TDSV2_0000063,2022-01-04,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_02,OP_CHA_AXLE,V6,STANDARD,STANDARD,RED,3.9124,17777.95,4.1001,59.5115,23.689,1519.74,26.891,31.816,364.18,76.388,8.887,4.29,3,92.682,3.0768,1.1451,353.67,1.0,0,7.1
TDSV2_0000064,2022-01-04,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_CAB,V6,PREMIUM,STANDARD,BLUE,2.5641,21724.5,3.3619,68.1787,25.57,1383.39,52.561,54.45,394.84,100.0,8.243,26.901,1,71.273,2.3989,1.1556,652.88,1.630789,2,37.098
TDSV2_0000065,2022-01-04,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_CAB,V8,PREMIUM,OFFROAD,RED,5.0669,6404.93,3.6429,67.2461,27.877,2594.26,55.355,90.505,229.07,84.331,2.968,14.097,0,71.996,2.3344,1.2431,548.02,2.248596,2,56.718
TDSV2_0000066,2022-01-05,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_AXLE,V6,STANDARD,OFFROAD,RED,6.9129,24361.03,3.8426,61.8085,8.569,650.03,37.077,48.002,446.08,79.502,9.014,13.451,0,74.709,3.1874,1.198,556.7,1.251188,0,19.72
TDSV2_0000067,2022-01-05,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FRAME,V8,PREMIUM,OFFROAD,RED,3.5781,22316.05,4.4508,74.6198,49.06,2206.58,52.095,94.391,370.13,94.871,11.099,32.19,0,70.85,4.0265,1.2866,919.96,2.783919,1,67.966
TDSV2_0000068,2022-01-05,KMAT_TRUCK_01,WC_PAINT,MC_PNT_01,OP_PNT_PRIMER,V6,STANDARD,OFFROAD,BLUE,11.0501,21239.55,4.9069,67.5339,35.725,1295.35,35.65,51.142,518.8,75.683,8.217,38.933,2,67.503,4.2386,1.2758,1062.03,2.325424,5,81.506
TDSV2_0000069,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_MOUNT,V6,PREMIUM,STANDARD,RED,6.2094,22533.84,3.6981,57.2658,11.294,921.89,34.391,49.442,437.22,73.665,9.431,3.193,1,86.099,2.7949,1.1091,429.61,1.072299,0,18.205
TDSV2_0000070,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_CALIBRATE,V6,STANDARD,OFFROAD,RED,6.6463,19564.61,4.7813,65.5987,36.049,2409.9,45.775,55.953,394.21,79.702,6.298,7.822,2,77.052,3.4725,1.2639,790.26,2.029738,0,39.03
TDSV2_0000071,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_CALIBRATE,V8,PREMIUM,STANDARD,RED,6.1269,22471.86,4.4117,69.4379,55.195,1553.92,51.319,72.511,431.22,75.781,2.17,46.871,2,87.909,3.9854,1.338,988.26,2.272918,1,63.66
TDSV2_0000072,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_MOUNT,V6,PREMIUM,OFFROAD,BLUE,6.2829,21007.34,4.3097,60.8987,20.554,1591.43,45.296,66.671,516.53,79.848,11.04,60.241,2,83.578,3.5478,1.1471,1025.51,1.88988,0,40.426
TDSV2_0000073,2022-01-05,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_WHEEL,V8,STANDARD,STANDARD,BLUE,0.9507,8076.1,2.9319,63.2661,31.835,1613.84,45.918,53.039,188.95,82.114,7.675,8.819,0,91.259,2.4005,1.1765,204.56,1.0,0,12.26
TDSV2_0000074,2022-01-05,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FRAME,V8,STANDARD,STANDARD,BLUE,3.7654,22008.56,3.0285,61.9793,13.721,966.01,31.186,46.193,362.89,93.39,6.997,17.836,1,73.982,2.3612,1.1379,453.54,1.255563,0,27.339
TDSV2_0000075,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V6,STANDARD,STANDARD,BLUE,10.6547,12418.62,3.0572,60.6426,9.355,1688.33,35.247,36.617,483.56,67.408,2.853,28.023,2,81.003,2.6192,1.1352,643.61,1.279756,0,14.829
TDSV2_0000076,2022-01-05,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_FINAL,V6,PREMIUM,STANDARD,RED,4.0746,4150.21,4.2603,69.8399,83.231,2633.63,35.248,50.433,261.42,100.0,10.635,29.774,1,67.7,3.4251,1.4532,845.17,3.010824,3,89.457
TDSV2_0000077,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_CALIBRATE,V6,PREMIUM,STANDARD,BLUE,10.1343,14195.54,2.4854,57.205,8.843,574.33,41.594,44.779,508.16,75.157,4.05,68.556,2,87.243,3.0957,1.15,604.56,1.196626,1,28.032
TDSV2_0000078,2022-01-05,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V8,STANDARD,STANDARD,BLUE,10.5135,11821.02,4.8323,71.6214,35.463,1840.43,26.408,62.906,453.01,74.003,1.254,66.903,2,74.003,3.9051,1.3522,950.73,2.159435,0,40.361
TDSV2_0000079,2022-01-06,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_01,OP_CHA_WHEEL,V6,STANDARD,STANDARD,BLUE,1.4964,8346.05,3.1372,59.0107,23.496,1093.37,31.828,33.14,232.69,63.494,4.015,13.658,0,94.178,2.4887,1.2044,232.41,1.0,0,22.867
